Pref,Pref.name,Age,DiagnoseYear,Sex,Population,CaseCount.TB,CaseCount.STBBI
5101,Chengdu,"[54,57)",2017,1,326023,207,343
5101,Chengdu,"[54,57)",2018,0,375506,60,373
5101,Chengdu,"[54,57)",2018,1,413160,224,588
5101,Chengdu,"[57,60)",2005,0,172296,77,36
5101,Chengdu,"[57,60)",2005,1,183431,249,76
5101,Chengdu,"[57,60)",2006,0,193947,97,42
5101,Chengdu,"[57,60)",2006,1,201987,253,51
5101,Chengdu,"[57,60)",2007,0,206962,107,30
5101,Chengdu,"[57,60)",2007,1,208199,239,67
5101,Chengdu,"[57,60)",2008,0,227888,120,44
5101,Chengdu,"[57,60)",2008,1,224399,225,61
5101,Chengdu,"[57,60)",2009,0,247305,78,67
5101,Chengdu,"[57,60)",2009,1,239905,194,112
5101,Chengdu,"[57,60)",2010,0,272513,72,113
5101,Chengdu,"[57,60)",2010,1,263994,196,173
5101,Chengdu,"[57,60)",2011,0,286997,84,118
5101,Chengdu,"[57,60)",2011,1,281379,225,203
5101,Chengdu,"[57,60)",2012,0,286790,69,133
5101,Chengdu,"[57,60)",2012,1,286140,224,168
5101,Chengdu,"[57,60)",2013,0,277154,90,99
5101,Chengdu,"[57,60)",2013,1,281734,218,196
5101,Chengdu,"[57,60)",2014,0,272623,51,128
5101,Chengdu,"[57,60)",2014,1,281968,204,216
5101,Chengdu,"[57,60)",2015,0,259292,59,127
5101,Chengdu,"[57,60)",2015,1,274322,221,277
5101,Chengdu,"[57,60)",2016,0,228350,48,183
5101,Chengdu,"[57,60)",2016,1,247259,154,301
5101,Chengdu,"[57,60)",2017,0,191060,38,140
5101,Chengdu,"[57,60)",2017,1,210913,123,313
5101,Chengdu,"[57,60)",2018,0,159474,18,175
5101,Chengdu,"[57,60)",2018,1,176926,79,279
5101,Chengdu,"[60,63)",2005,0,156053,107,19
5101,Chengdu,"[60,63)",2005,1,159549,266,61
5101,Chengdu,"[60,63)",2006,0,160935,95,24
5101,Chengdu,"[60,63)",2006,1,166105,240,78
5101,Chengdu,"[60,63)",2007,0,170111,78,30
5101,Chengdu,"[60,63)",2007,1,178306,246,79
5101,Chengdu,"[60,63)",2008,0,174386,72,33
5101,Chengdu,"[60,63)",2008,1,183727,219,64
5101,Chengdu,"[60,63)",2009,0,196079,63,69
5101,Chengdu,"[60,63)",2009,1,202097,187,131
5101,Chengdu,"[60,63)",2010,0,208847,56,79
5101,Chengdu,"[60,63)",2010,1,207986,167,139
5101,Chengdu,"[60,63)",2011,0,229010,57,109
